Time	App_Name	BG_App_Cnt	Daylight	
2021-09-10 14:07:32.938515	SnippingTool.exe	9	Afternoon
2021-09-10 14:07:34.329796	explorer.exe	9	Afternoon
2021-09-10 14:07:34.344756	SnippingTool.exe	9	Afternoon
2021-09-10 14:07:34.384650	opera.exe	9	Afternoon
2021-09-10 14:07:34.736709	SnippingTool.exe	9	Afternoon
2021-09-10 14:07:38.714076	Skype.exe	9	Afternoon
2021-09-10 14:07:46.914155	TopTracker.exe	9	Afternoon
2021-09-10 14:07:47.038821	Skype.exe	9	Afternoon
2021-09-10 14:07:47.913484	opera.exe	9	Afternoon
2021-09-10 14:07:54.543764	SnippingTool.exe	9	Afternoon
2021-09-10 14:07:55.965956	explorer.exe	9	Afternoon
2021-09-10 14:07:55.972938	SnippingTool.exe	9	Afternoon
2021-09-10 14:07:56.050730	opera.exe	9	Afternoon
2021-09-10 14:07:56.342957	SnippingTool.exe	9	Afternoon
2021-09-10 14:07:59.181361	Skype.exe	9	Afternoon
2021-09-10 14:08:08.424663	opera.exe	9	Afternoon
2021-09-10 14:08:12.986456	Skype.exe	9	Afternoon
2021-09-10 14:08:22.798226	opera.exe	9	Afternoon
2021-09-10 14:08:24.142639	Skype.exe	9	Afternoon
2021-09-10 14:08:56.073272	opera.exe	9	Afternoon
2021-09-10 14:09:26.846009	Skype.exe	9	Afternoon
2021-09-10 14:09:38.890810	opera.exe	9	Afternoon
2021-09-10 14:10:13.891243	Skype.exe	9	Afternoon
2021-09-10 14:10:19.518207	opera.exe	9	Afternoon
2021-09-10 14:11:01.170849	TextLogger.exe	9	Afternoon
2021-09-10 14:11:01.619650	Skype.exe	9	Afternoon
2021-09-10 14:11:14.868236	opera.exe	9	Afternoon
2021-09-10 14:12:44.091714	TopTracker.exe	9	Afternoon
2021-09-10 14:12:44.212392	opera.exe	9	Afternoon
2021-09-10 14:22:43.630430	TopTracker.exe	9	Afternoon
2021-09-10 14:22:43.761081	opera.exe	9	Afternoon
2021-09-10 14:27:38.215918	TextLogger.exe	9	Afternoon
