Key	Press_Time	Relase_Time	Daylight	
backspace	2021-09-10 12:18:21.431596	2021-09-10 12:18:21.524351	Afternoon
backspace	2021-09-10 12:18:21.564243	2021-09-10 12:18:21.677937	Afternoon
$	2021-09-10 12:22:06.537173	2021-09-10 12:22:06.727663	Afternoon
$	2021-09-10 12:22:06.813435	2021-09-10 12:22:06.907185	Afternoon
$	2021-09-10 12:22:07.038833	2021-09-10 12:22:07.184444	Afternoon
$	2021-09-10 12:22:07.152527	2021-09-10 12:22:07.324069	Afternoon
$	2021-09-10 12:22:07.325069	2021-09-10 12:22:07.404852	Afternoon
$	2021-09-10 12:22:07.678123	2021-09-10 12:22:07.774865	Afternoon
$	2021-09-10 12:22:07.801792	2021-09-10 12:22:07.901527	Afternoon
$	2021-09-10 12:22:08.017217	2021-09-10 12:22:08.149861	Afternoon
backspace	2021-09-10 12:22:08.634567	2021-09-10 12:22:09.206039	Afternoon
$	2021-09-10 12:22:09.821398	2021-09-10 12:22:09.945065	Afternoon
$	2021-09-10 12:22:10.031832	2021-09-10 12:22:10.136552	Afternoon
$	2021-09-10 12:22:10.208363	2021-09-10 12:22:10.312080	Afternoon
$	2021-09-10 12:22:10.399847	2021-09-10 12:22:10.512545	Afternoon
space	2021-09-10 12:22:10.512545	2021-09-10 12:22:10.718994	Afternoon
$	2021-09-10 12:22:10.717997	2021-09-10 12:22:10.809752	Afternoon
$	2021-09-10 12:22:10.809752	2021-09-10 12:22:10.965335	Afternoon
$	2021-09-10 12:22:10.971319	2021-09-10 12:22:11.049112	Afternoon
$	2021-09-10 12:22:11.123910	2021-09-10 12:22:11.185746	Afternoon
$	2021-09-10 12:22:11.226638	2021-09-10 12:22:11.356291	Afternoon
enter	2021-09-10 12:22:11.424112	2021-09-10 12:22:11.546781	Afternoon
shift_r	2021-09-10 12:22:24.475219	2021-09-10 12:22:24.931001	Afternoon
caps_lock	2021-09-10 12:22:25.894426	2021-09-10 12:22:26.080927	Afternoon
$	2021-09-10 12:22:26.424012	2021-09-10 12:22:26.556656	Afternoon
