Type	Stopped_Time	Activated_Time	Duration(s)	Daylight	
Mouse	2021-09-10 13:51:54.784755	2021-09-10 13:52:05.605826	10.821071	Afternoon
Mouse	2021-09-10 13:52:06.565261	2021-09-10 13:52:13.077851	6.51259	Afternoon
Keyboard	2021-09-10 13:51:42.202392	2021-09-10 13:52:19.934524	37.732132	Afternoon
Mouse	2021-09-10 13:52:19.660256	2021-09-10 13:52:28.749955	9.089699	Afternoon
Keyboard	2021-09-10 13:52:47.354221	2021-09-10 13:53:27.167789	39.813568	Afternoon
Keyboard	2021-09-10 13:53:36.531755	2021-09-10 13:53:49.570899	13.039144	Afternoon
Keyboard	2021-09-10 13:53:56.014673	2021-09-10 13:54:03.279254	7.264581	Afternoon
Keyboard	2021-09-10 13:54:04.710426	2021-09-10 13:54:14.638885	9.928459	Afternoon
Mouse	2021-09-10 13:54:22.239567	2021-09-10 13:54:27.240199	5.000632	Afternoon
Keyboard	2021-09-10 13:54:15.672123	2021-09-10 13:54:45.641006	29.968883	Afternoon
Mouse	2021-09-10 13:54:44.771332	2021-09-10 13:54:51.743693	6.972361	Afternoon
Keyboard	2021-09-10 13:55:18.983872	2021-09-10 13:55:28.855483	9.871611	Afternoon
Mouse	2021-09-10 13:55:28.394714	2021-09-10 13:55:36.280633	7.885919	Afternoon
Keyboard	2021-09-10 13:55:59.723963	2021-09-10 13:56:16.350515	16.626552	Afternoon
Keyboard	2021-09-10 13:56:17.103500	2021-09-10 13:56:27.080828	9.977328	Afternoon
Keyboard	2021-09-10 13:56:30.250356	2021-09-10 13:56:52.994554	22.744198	Afternoon
Keyboard	2021-09-10 13:56:56.699650	2021-09-10 13:57:16.960486	20.260836	Afternoon
Mouse	2021-09-10 13:57:31.472692	2021-09-10 13:57:40.021838	8.549146	Afternoon
Keyboard	2021-09-10 13:57:17.097120	2021-09-10 13:58:49.329557	92.232437	Afternoon
Mouse	2021-09-10 13:58:55.442218	2021-09-10 13:59:03.238375	7.796157	Afternoon
Mouse	2021-09-10 13:59:03.628331	2021-09-10 13:59:16.918803	13.290472	Afternoon
Mouse	2021-09-10 14:01:55.504575	2021-09-10 14:02:02.384183	6.879608	Afternoon
Mouse	2021-09-10 14:02:03.159109	2021-09-10 14:02:09.087263	5.927156	Afternoon
Keyboard	2021-09-10 13:58:50.072571	2021-09-10 14:02:24.541949	214.469378	Afternoon
Keyboard	2021-09-10 14:02:25.362754	2021-09-10 14:02:34.047537	8.684783	Afternoon
Keyboard	2021-09-10 14:02:35.466743	2021-09-10 14:02:42.368293	6.90155	Afternoon
Mouse	2021-09-10 14:02:41.956398	2021-09-10 14:02:47.998245	6.041847	Afternoon
Keyboard	2021-09-10 14:02:47.041802	2021-09-10 14:02:56.319997	9.278195	Afternoon
Keyboard	2021-09-10 14:03:00.762121	2021-09-10 14:03:17.017666	16.255545	Afternoon
Keyboard	2021-09-10 14:03:17.771651	2021-09-10 14:03:23.743685	5.972034	Afternoon
Keyboard	2021-09-10 14:03:24.783905	2021-09-10 14:03:36.399852	11.615947	Afternoon
Keyboard	2021-09-10 14:03:40.520835	2021-09-10 14:04:32.985582	52.464747	Afternoon
Mouse	2021-09-10 14:06:15.862562	2021-09-10 14:06:27.799650	11.937088	Afternoon
Keyboard	2021-09-10 14:04:34.299071	2021-09-10 14:08:00.065000	205.765929	Afternoon
Mouse	2021-09-10 14:08:00.086939	2021-09-10 14:08:07.463220	7.376281	Afternoon
Mouse	2021-09-10 14:08:13.488114	2021-09-10 14:08:20.143322	6.655208	Afternoon
Keyboard	2021-09-10 14:08:19.123052	2021-09-10 14:08:25.191826	6.068774	Afternoon
Keyboard	2021-09-10 14:08:25.317491	2021-09-10 14:09:17.878979	52.561488	Afternoon
Keyboard	2021-09-10 14:09:20.417193	2021-09-10 14:09:59.643331	39.226138	Afternoon
Keyboard	2021-09-10 14:10:00.646648	2021-09-10 14:10:06.464098	5.81745	Afternoon
Keyboard	2021-09-10 14:10:12.619642	2021-09-10 14:11:26.766426	74.146784	Afternoon
Mouse	2021-09-10 14:12:32.347109	2021-09-10 14:12:37.678856	5.331747	Afternoon
Keyboard	2021-09-10 14:11:31.597510	2021-09-10 14:13:19.514019	107.916509	Afternoon
Mouse	2021-09-10 14:13:50.534094	2021-09-10 14:14:12.055560	21.521466	Afternoon
Mouse	2021-09-10 14:16:33.691028	2021-09-10 14:21:30.376261	296.685233	Afternoon
Keyboard	2021-09-10 14:13:20.758691	2021-09-10 14:22:18.400877	537.642186	Afternoon
Keyboard	2021-09-10 14:22:19.286508	2021-09-10 14:22:24.807749	5.521241	Afternoon
Keyboard	2021-09-10 14:22:29.084317	2021-09-10 14:22:45.991120	16.906803	Afternoon
Mouse	2021-09-10 14:22:44.899039	2021-09-10 14:23:00.920210	16.021171	Afternoon
Keyboard	2021-09-10 14:23:07.358000	2021-09-10 14:23:13.483624	6.125624	Afternoon
Mouse	2021-09-10 14:23:21.363559	2021-09-10 14:23:28.175348	6.811789	Afternoon
Mouse	2021-09-10 14:23:32.643405	2021-09-10 14:27:36.859544	244.216139	Afternoon
Keyboard	2021-09-10 14:23:19.425741	2021-09-10 14:27:59.409263	279.983522	Afternoon
Mouse	2021-09-10 14:28:56.393926	2021-09-10 14:29:02.129593	5.735667	Afternoon
Mouse	2021-09-10 14:29:18.208609	2021-09-10 14:29:25.024388	6.815779	Afternoon
Keyboard	2021-09-10 14:28:00.327807	2021-09-10 14:29:39.713122	99.385315	Afternoon
Mouse	2021-09-10 14:29:38.223105	2021-09-10 14:29:46.961743	8.738638	Afternoon
Mouse	2021-09-10 14:29:48.769910	2021-09-10 14:29:55.855966	7.086056	Afternoon
Mouse	2021-09-10 14:29:55.894863	2021-09-10 14:30:19.687259	23.792396	Afternoon
Mouse	2021-09-10 14:30:20.988779	2021-09-10 14:30:27.205161	6.216382	Afternoon
Keyboard	2021-09-10 14:30:16.458889	2021-09-10 14:30:41.198752	24.739863	Afternoon
Mouse	2021-09-10 14:30:39.440453	2021-09-10 14:31:03.455253	24.0148	Afternoon
Mouse	2021-09-10 14:31:12.801272	2021-09-10 14:31:18.078163	5.276891	Afternoon
Mouse	2021-09-10 14:31:25.192147	2021-09-10 14:31:30.777215	5.585068	Afternoon
Mouse	2021-09-10 14:32:14.661463	2021-09-10 14:32:19.847599	5.186136	Afternoon
Mouse	2021-09-10 14:32:51.003313	2021-09-10 14:32:56.298156	5.294843	Afternoon
Mouse	2021-09-10 14:33:21.268404	2021-09-10 14:33:27.991431	6.723027	Afternoon
Mouse	2021-09-10 14:33:37.675543	2021-09-10 14:33:50.230977	12.555434	Afternoon
Keyboard	2021-09-10 14:31:02.373147	2021-09-10 14:33:57.442700	175.069553	Afternoon
Mouse	2021-09-10 14:34:01.865875	2021-09-10 14:34:19.385488	17.519613	Afternoon
Mouse	2021-09-10 14:35:02.550097	2021-09-10 14:35:11.183019	8.632922	Afternoon
Keyboard	2021-09-10 14:34:18.148795	2021-09-10 14:35:19.180638	61.031843	Afternoon
Mouse	2021-09-10 14:35:25.033991	2021-09-10 14:35:31.656288	6.622297	Afternoon
Mouse	2021-09-10 14:35:56.206659	2021-09-10 14:36:03.136134	6.929475	Afternoon
Mouse	2021-09-10 14:36:05.285388	2021-09-10 14:36:10.935284	5.649896	Afternoon
Mouse	2021-09-10 14:36:10.956228	2021-09-10 14:36:26.143627	15.187399	Afternoon
Mouse	2021-09-10 14:36:38.799799	2021-09-10 14:36:43.889190	5.089391	Afternoon
Keyboard	2021-09-10 14:35:20.598848	2021-09-10 14:36:55.968343	95.369495	Afternoon
Mouse	2021-09-10 14:36:59.614885	2021-09-10 14:37:07.623429	8.008544	Afternoon
Mouse	2021-09-10 14:37:15.973109	2021-09-10 14:37:24.199118	8.226009	Afternoon
Mouse	2021-09-10 14:37:25.305161	2021-09-10 14:37:32.282508	6.977347	Afternoon
Mouse	2021-09-10 14:37:48.736523	2021-09-10 14:44:59.954677	431.218154	Afternoon
Mouse	2021-09-10 14:45:01.316039	2021-09-10 14:47:54.202863	172.886824	Afternoon
