meanRT_go,meanRT_stop,sdRT_go,sdRT_nogo,dda,stop_accuracy,go_accuracy,meanRT_go_10,meanRT_go_50,meanRT_go_80,meanRT_stop_10,meanRT_stop_50,meanRT_stop_80,medGoRT_10,medGoRT_50,medGoRT_80,meanSOA_10,meanSOA_50,meanSOA_80,Gender,Age,A,B,C,D,E,F,G,H,IN,ssrt_integ,ssrt0.1,ssrt0.5,ssrt0.8
0.521814329,0.491237013,0.229468628,0.245423383,0.402777778,0.131944444,0.93287037,0.539515013,0.50271437,0.524253538,0.485371637,0.505856895,0.483455229,0.534998059,0.48519659,0.468234062,0.026595745,0.028571429,0.065625,female,20,11,15,2,7,11,13,24,10,8,,,,
0.51459468,0.508745398,0.241153735,0.243179757,0.412037037,0.277777778,0.796296296,0.501254181,0.521983987,0.521871942,0.487858279,0.528971061,0.50217111,0.43481648,0.451550007,0.468266964,0.045348837,0.075454545,0.073913043,female,21,15,16,11,9,7,7,14,17,5,,,,
0.607057479,0.500841597,0.313468037,0.318191664,0.384259259,0.444444444,0.773148148,0.610688523,0.625106382,0.590240625,0.487644291,0.504581797,0.509359552,0.635197163,0.685574532,0.635391951,0.286792453,0.284042553,0.257954545,male,19,20,14,14,11,10,12,22,19,7,0.464755964,0.380928177,0.534746164,0.496218707
0.768140362,0.673226678,0.196382364,0.199987301,0.587962963,0.5,0.856481481,0.785001205,0.774049443,0.747517128,0.665021593,0.686337914,0.669956881,0.8025949,0.769100189,0.769086003,0.443,0.42755102,0.428888889,male,19,12,17,7,7,9,9,18,9,8,0.335781876,0.32609399,0.324830066,0.407043127
0.801091095,0.766049799,0.181257408,0.169747391,0.439814815,0.5,0.868055556,0.79587878,0.80924374,0.797918942,0.78529935,0.732102131,0.765550902,0.819063187,0.852639914,0.83592391,0.355645161,0.320833333,0.254347826,male,18,6,23,14,2,11,15,26,15,9,0.625503429,0.548011863,0.652664216,0.68471803
0.488337381,0.476784099,0.241992572,0.241414196,0.50462963,0.0625,0.972222222,0.486382091,0.497330185,0.481058803,0.451859016,0.550741835,0.416231063,0.443192482,0.45988059,0.418311,0.053773585,0.033018868,0.026315789,female,18,12,29,7,3,11,15,26,14,11,,,,
0.714805012,0.611222344,0.187679635,0.18371371,0.391203704,0.486111111,0.865740741,0.71373431,0.730851235,0.698560379,0.600549708,0.593225728,0.636039584,0.718945503,0.7355901,0.70214951,0.403846154,0.470833333,0.420535714,female,18,13,16,9,13,12,5,17,15,9,0.291875521,0.298199764,0.331520764,0.281529277
0.738326241,0.656857004,0.178485289,0.143344846,0.5,0.486111111,0.918981481,0.745522684,0.740577164,0.729232066,0.71701852,0.625664939,0.648549846,0.769109011,0.752367973,0.735992193,0.456521739,0.462820513,0.475423729,male,22,14,10,6,10,8,4,12,13,11,0.2864668,0.229014407,0.356407421,0.293661202
0.797309436,0.728829524,0.139659041,0.148816516,0.435185185,0.493055556,0.895833333,0.791523391,0.786065284,0.815743831,0.682406948,0.745414926,0.750768889,0.802341938,0.785820007,0.819071054,0.504545455,0.542727273,0.536666667,female,21,1,3,1,0,0,0,0,0,0,0.273368152,0.281284566,0.276603896,0.265868152
0.806616217,0.782762798,0.160468999,0.174080665,0.368055556,0.541666667,0.645833333,0.800415749,0.793039393,0.821383455,0.771317101,0.772609723,0.794156358,0.819246054,0.802646875,0.835956097,0.831818182,0.841176471,0.808163265,female,21,27,21,21,16,19,16,35,22,8,-0.040628417,-0.079442341,-0.088767489,0.078197857
0.590138311,0.542067467,0.246029985,0.23776352,0.347222222,0.215277778,0.729166667,0.616768823,0.58009721,0.579497629,0.56407721,0.554631086,0.513092727,0.618674874,0.568522573,0.551625013,0.094736842,0.127272727,0.107843137,female,18,12,18,12,6,10,14,24,12,5,,,,
0.855193211,0.783685234,0.143646513,0.154537673,0.344907407,0.506944444,0.712962963,0.860685459,0.877376402,0.829610525,0.790432241,0.778571264,0.783557741,0.886077523,0.902709007,0.861005545,0.582954545,0.541304348,0.575,female,18,12,11,15,7,2,8,10,16,10,0.31939834,0.286406378,0.361475708,0.311085033
0.566672703,0.361203824,0.253519386,0.190316712,0.347222222,0.534722222,0.648148148,0.557700401,0.539042514,0.599341853,0.310979269,0.373689532,0.402272864,0.551807165,0.518377066,0.568500519,0.331111111,0.447222222,0.414444444,female,18,9,20,5,15,8,12,20,17,10,0.117664501,0.220696054,0.054466735,0.103914501
0.604409009,0.447239409,0.227862438,0.171597181,0.414351852,0.486111111,0.909722222,0.620151887,0.574961853,0.621217944,0.425737917,0.43291897,0.484254708,0.602036476,0.568728089,0.601978064,0.305208333,0.285106383,0.280612245,female,18,8,18,20,8,9,6,15,19,8,0.311700286,0.296838633,0.33336071,0.321308837
0.849859702,0.797644244,0.14932311,0.156046976,0.444444444,0.5,0.733796296,0.852975884,0.868321148,0.831628296,0.796507835,0.75841876,0.843510032,0.886314034,0.886094093,0.844290853,0.60375,0.616981132,0.599019608,male,18,10,27,17,7,14,17,31,19,5,0.262443659,0.332481852,0.269099848,0.203525463
0.586782844,0.446237006,0.217191248,0.138031014,0.409722222,0.472222222,0.872685185,0.57777281,0.576505823,0.609335279,0.43198457,0.415580829,0.496964912,0.551805139,0.535006881,0.568500042,0.231818182,0.244230769,0.235416667,female,18,14,16,9,8,8,11,19,17,4,0.331006002,0.269805926,0.391130425,0.34982036
0.561428892,0.455623484,0.22423465,0.194559932,0.451388889,0.465277778,0.907407407,0.570155351,0.538023424,0.575973646,0.431075785,0.508536141,0.414114952,0.551828027,0.485009432,0.560154557,0.193617021,0.221698113,0.235227273,male,19,6,25,7,1,2,10,12,10,10,0.335200342,0.425087059,0.296690873,0.316575601
0.616774346,0.58736371,0.188007944,0.185099778,0.425925926,0.180555556,0.756944444,0.607823632,0.627688417,0.615930572,0.650062648,0.572105748,0.554149046,0.618700027,0.635305047,0.63538146,0.055813953,0.027884615,0.02244898,female,20,8,12,12,8,6,8,14,9,2,,,,
0.398000238,0.385329923,0.242606375,0.227605055,0.37962963,0.145833333,0.81712963,0.383081964,0.36968738,0.4398613,0.416394198,0.377367668,0.364147127,0.367970943,0.367978454,0.418079853,0.041666667,0.015217391,0.024,female,18,6,20,7,10,6,10,16,11,11,,,,
0.661439617,0.579622739,0.177056381,0.164858359,0.37962963,0.486111111,0.856481481,0.665877716,0.636359289,0.680157077,0.542152656,0.614964123,0.570969675,0.668831944,0.652060986,0.70225811,0.361363636,0.398039216,0.387755102,female,18,10,7,10,12,8,10,18,11,7,0.301997534,0.290539278,0.270754701,0.347899729
0.708512503,0.65045767,0.201672413,0.189648456,0.409722222,0.5,0.831018519,0.734426025,0.714870718,0.673920307,0.698191061,0.586080658,0.653946762,0.752371073,0.75236392,0.702185512,0.410377358,0.391666667,0.410465116,female,18,12,17,15,10,9,9,18,15,5,0.331489356,0.30862465,0.310539468,0.375328903
0.894266474,0.852408063,0.13835284,0.140925178,0.344907407,0.493055556,0.680555556,0.898634987,0.902954836,0.880376182,0.87069129,0.825282986,0.857780026,0.902923107,0.936226964,0.91942656,0.641509434,0.608888889,0.656521739,male,18,12,20,16,3,11,10,21,11,7,0.28351894,0.261292795,0.327337956,0.279773293
0.778971578,0.724959675,0.184058987,0.192577128,0.37037037,0.479166667,0.800925926,0.789395751,0.756534706,0.789994721,0.789582112,0.691639712,0.701765138,0.83577013,0.760737538,0.819250107,0.457954545,0.427272727,0.425892857,female,18,9,17,13,11,9,16,25,10,8,0.383138996,0.377969365,0.291495154,0.443485233
0.460586203,0.461276908,0.212870883,0.208812273,0.474537037,0.069444444,0.909722222,0.477028775,0.433208414,0.469397879,0.486138055,0.480804475,0.407829144,0.418133974,0.401396036,0.434818983,0.026666667,0.039814815,0.012222222,female,18,6,12,4,16,8,6,14,16,11,,,,
