vel_max_go10coh,acc_max_go10coh,total_dist_go10coh,vel_max_nogo10coh,acc_max_nogo10coh,total_dist_nogo10coh,vel_max_go50coh,acc_max_go50coh,total_dist_go50coh,vel_max_nogo50coh,acc_max_nogo50coh,total_dist_nogo50coh,vel_max_go80coh,acc_max_go80coh,total_dist_go80coh,vel_max_nogo80coh,acc_max_nogo80coh,total_dist_nogo80coh,vel_max_go,acc_max_go,total_dist_go,vel_max_nogo,acc_max_nogo,total_dist_nogo,meanRT_go.y,meanRT_stop.y,sdRT_go.y,sdRT_nogo.y,dda,stop_accuracy.y,meanRT_go_10.y,meanRT_go_50.y,meanRT_go_80.y,meanRT_stop_10.y,meanRT_stop_50.y,meanRT_stop_80.y,Gender,Age,A,B,C,D,E,F,G,H,IN,vol,go_acc,ssrt_integ,ssrt0.1,ssrt0.5,ssrt0.8,meanITGo,meanmt
4.06583983,152.8020643,0.572780512,4.227415668,125.9436522,0.29483392,4.091202508,134.2064938,0.441182939,2.653415392,75.31210939,0.197846982,5.122503202,197.0774045,0.311925646,3.927421404,143.4337513,0.222251503,11.54669429,289.6782329,2.013700319,3.382584522,94.7101201,0.243409532,1.65523793,1.403325388,0.402328011,0.475295095,0.444444444,0.541666667,1.724032929,1.629391819,1.626287474,1.328572114,1.394705582,1.492710601,female,18,8,13,8,10,6,7,13,12,6,0,0.930555556,1.252747377,1.378855082,1.270365019,1.20140708,0.794497457,0.909504504
12.58056455,237.378046,0.972998697,4.988803023,142.4962159,0.245131662,11.80250066,226.5647924,0.948539973,5.570665682,208.7643007,0.270058986,10.69021681,229.3580988,0.972753542,3.798906157,108.2239429,0.235840996,9.474708436,204.4385724,1.375483882,4.191202295,106.8152583,0.257925641,1.16205973,0.912813422,0.342571555,0.295586976,0.300925926,0.458333333,1.233400263,1.137198343,1.108103202,0.925918519,0.887530914,0.925164774,male,19,17,22,10,5,12,14,26,12,7,0,0.62962963,0.507156801,0.565946514,0.425504023,0.517887972,0.750561835,1.001411986
5.275307396,165.4118855,0.533930838,4.006917123,110.411504,0.205270546,3.987672671,140.8202773,0.497676115,3.983721868,121.0076166,0.397591026,3.982997627,101.6304952,0.480247465,3.328535383,89.57293911,0.223770465,10.11211492,236.4085546,2.064635447,3.542468555,85.44051018,0.245587901,1.244025607,1.003457806,0.304589122,0.272944412,0.493055556,0.465277778,1.267227787,1.214941973,1.250572956,1.092324213,0.988132124,0.92764661,female,18,20,20,22,12,8,9,17,22,8,0,0.965277778,NA,NA,NA,NA,0.316912785,0.953771563
6.686932899,177.5968003,0.911615985,4.483517321,126.1830644,0.263289047,6.841830624,181.2225832,0.903744338,3.441098349,90.37147136,0.227953061,6.367610114,162.1180061,0.848260839,3.711185056,105.1759398,0.282113732,9.260860673,206.7283308,1.543436719,3.581339146,88.02684157,0.26080277,2.050635089,2.010759504,0.184398182,0.316505372,0.166666667,0.548611111,2.068736434,2.087926111,2.006491239,2.047045001,1.913727575,2.049331466,male,18,2,8,2,0,2,4,6,4,7,0,0.331018519,0.895320813,0.936926267,0.888192462,0.824316868,0.810098189,1.341800196
8.670710954,167.4846971,0.652110146,4.193162723,114.6331385,0.330358017,3.874595048,134.2712837,0.277092582,4.660168673,166.7963011,0.206270131,8.867599135,154.5291762,0.362365142,4.001625718,135.5830989,0.245712309,11.81555504,268.175434,1.916656631,3.842314721,108.0979685,0.251007359,1.946933035,1.728034962,0.399607958,0.485230061,0.365740741,0.541666667,1.904246133,1.995281121,1.951766869,1.637203981,1.915619421,1.704560024,male,19,6,18,11,11,9,12,21,13,9,0,0.777777778,1.084840012,1.107674076,1.022790089,1.103015221,0.946932628,1.085785006
7.60058431,159.6622568,0.568682226,4.113246673,124.0741301,0.3139622,5.621754309,181.0543486,0.543955509,4.574147254,117.5761207,0.350053861,6.555766877,175.1602991,0.665799502,4.502725535,112.0762971,0.273074215,12.31422138,262.7557628,2.219426441,5.552609061,113.0186441,0.375666626,1.24388642,0.855796288,0.330638378,0.272213601,0.472222222,0.263888889,1.260329972,1.256118655,1.206350712,0.842652142,0.868266392,0.855390109,female,19,15,21,11,4,8,11,19,18,8,0,0.969907407,NA,NA,NA,NA,0.171791872,1.085363744
7.815379496,295.3447656,0.459732856,6.656646542,207.055686,0.362491875,7.939765352,272.9886701,0.569262985,6.474590304,192.3464783,0.230985243,7.65703942,265.2982418,0.519694445,6.500654681,200.3889052,0.275111142,19.2383977,489.9565741,2.197014087,5.769306045,170.5501183,0.270225348,1.668181536,1.483812695,0.425260376,0.515453211,0.476851852,0.548611111,1.684156556,1.66307042,1.653145824,1.581975769,1.4040592,1.422165382,male,18,12,29,22,7,16,20,36,17,7,0,0.87962963,0.923343436,1.002819088,0.783300089,1.043243738,0.939539884,0.813397763
10.98040421,287.072494,1.40149192,6.477978973,190.5000979,0.313315752,8.068282469,255.5338555,0.769557393,7.063162877,221.9612749,0.266358336,9.010720972,249.8300844,0.870758477,5.214557985,166.8393704,0.213153815,17.51221065,432.4189119,2.138581305,5.237355583,143.1316371,0.246719143,1.88951628,1.671458479,0.362161847,0.50860803,0.405092593,0.520833333,1.885754914,1.951735569,1.830906382,1.628693544,1.711090133,1.684168642,male,18,10,16,16,15,10,9,19,18,6,0,0.678240741,1.015199412,1.014641017,1.04547719,1.000596042,1.176175842,0.909944441
5.540898185,173.999027,0.613252332,3.796510085,106.2409716,0.265413106,4.735363583,129.5069821,0.514040265,4.598272505,168.2060776,0.231823879,5.695136177,146.226006,0.72757306,3.408007597,88.08573047,0.274794937,10.69496249,246.9402385,2.04496979,4.667287679,119.1692369,0.340250997,1.443604967,1.06089167,0.350232345,0.205892195,0.469907407,0.368055556,1.477546364,1.411681662,1.443245476,1.12505726,1.034845039,1.023254584,female,18,5,14,11,7,8,6,14,14,3,0,0.842592593,NA,NA,NA,NA,0.384338659,1.124699877
4.39926646,122.7338552,0.449734301,3.239698345,88.09920901,0.220011428,9.101451183,169.180396,0.483501206,3.823229674,121.3963505,0.306258967,5.937212375,151.7426359,0.447194747,3.179709939,113.7113438,0.260699264,11.92276809,249.4721447,2.171592495,3.768092092,87.04252312,0.317890917,1.191203388,0.884307412,0.296315088,0.285105422,0.479166667,0.451388889,1.193150128,1.216974277,1.16044925,0.966040011,0.807562307,0.878920918,female,18,15,20,16,6,15,12,27,14,3,0,0.972222222,NA,NA,NA,NA,0.153794999,1.056649609
